Date,Open,High,Low,Close,fcb,cpi,interest
1/1/2019,1.51498,1.51582,1.51414,1.515,31.932,0.101803847,5.58
2/1/2019,1.516,1.5164,1.515,1.515,31.271,0.112406727,5.62
3/1/2019,1.51518,1.51554,1.51482,1.515,31.088,0.110694892,5.69
4/1/2019,1.51633,1.51669,1.515,1.515,31.526,0.102260526,5.68
5/1/2019,1.51435,1.51503,1.51367,1.515,29.716,0.107029999,5.79
6/1/2019,1.51577,1.51599,1.515,1.515,29.75,0.117261183,5.84
7/1/2019,1.51507,1.51523,1.5149,1.515,31.064,0.096370604,6.01
8/1/2019,1.51444,1.57226,1.51418,1.57226,30.603,0.106366437,6.2
9/1/2019,1.63784,1.68211,1.61203,1.68211,29.297,0.115180681,6.57
10/1/2019,1.79358,1.80627,1.72194,1.72194,30.982,0.106002298,6.61
11/1/2019,1.74662,1.89967,1.71598,1.89967,30.155,0.109098569,6.31
12/1/2019,2.12543,2.19536,2.05549,2.05903,29.553,0.115064455,4.62
1/1/2020,2.19345,2.23913,2.16252,2.23913,28.96,0.125455948,4
2/1/2020,2.45134,2.48021,2.34456,2.34456,28.34,0.11643249,3.22
3/1/2020,2.43389,2.59452,2.38908,2.59452,28.233,0.12613409,2.53
4/1/2020,2.90838,3.22865,2.8375,3.22865,27.375,0.158731244,2.32
5/1/2020,3.98196,4.12989,3.83403,4.1059,26.437,0.18308065,1.99
6/1/2020,4.98069,5.37933,4.8721,5.37933,25.87,0.21776393,1.64
7/1/2020,6.62605,8.1895,6.53367,8.1895,23.558,0.235469269,1.49
8/1/2020,10.01733,10.09744,7.49194,7.49194,22.758,0.240689932,1.28
9/1/2020,6.61578,7.668,6.05794,7.668,20.003,0.255185843,1.15
10/1/2020,8.3462,8.70771,7.83952,7.83952,19.463,0.26873266,1.04
11/1/2020,7.78843,8.09687,7.47999,7.7885,19.028,0.257958831,0.97
12/1/2020,7.82578,8.27692,7.64889,8.27692,18.604,0.289922145,0.94
1/1/2021,8.84979,9.08276,8.61682,8.76177,17.976,0.285836597,0.58
2/1/2021,9.18536,9.32197,9.04875,9.09679,17.494,0.302338242,0.54
3/1/2021,9.45228,11.66597,9.36135,11.66597,16.752,0.335506526,0.52
4/1/2021,14.62503,15.49366,12.21733,12.21733,16.233,0.331134596,0.49
5/1/2021,12.14544,13.05513,11.23576,12.70516,15.708,0.377548656,0.42
6/1/2021,13.69563,15.04983,13.20797,15.04983,15.185,0.410165226,0.39
7/1/2021,17.8791,19.39032,17.11295,19.39032,14.683,0.513606903,0.33
8/1/2021,23.62916,24.06434,19.59516,19.59516,14.2,0.553656054,0.3
9/1/2021,19.22948,20.68851,16.67583,16.67583,14.62,0.605101334,0.26
10/1/2021,14.53903,19.70726,14.19831,19.70726,14.495,0.711279614,0.23
11/1/2021,24.35128,25.81866,22.655,22.655,14.052,0.795376312,0.2
12/1/2021,24.70162,26.22172,23.18151,25.99839,13.646,0.920534822,0.19
1/1/2022,30.33585,31.52898,26.48065,26.48065,13.134,0.99225723,0.18
2/1/2022,26.31547,27.85134,20.95357,20.95357,12.748,0.964592114,0.17
3/1/2022,16.93072,22.61452,15.37054,22.61452,12.292,1.015415318,0.16
4/1/2022,25.76653,27.45037,24.08268,25.35917,12.06,1.093632137,0.15
5/1/2022,27.28461,28.95323,25.7111,28.95323,11.823,1.17799,0.13
6/1/2022,33.3271,34.64869,28.66917,28.66917,11.224,1.286759,0.09
7/1/2022,27.60156,29.47903,25.7678,29.47903,11.054,1.382217,0.12
8/1/2022,31.28627,32.04032,30.58223,32.04032,10.628,1.486593,0.1
9/1/2022,34.57588,36.69083,34.01079,36.69083,10.779,1.611432,0.09
10/1/2022,42.10592,43.07805,38.83387,38.83387,10.599,1.847442,0.1
11/1/2022,40.317,41.68259,38.95141,39.40667,10.404,1.91653,0.07
12/1/2022,40.46242,43.38871,39.76807,43.38871,10.398,2.045458,0.06
1/1/2023,48.27578,49.72983,46.82172,49.62258,10.195,2.21799,0.09
2/1/2023,56.30228,72.8,55.60739,72.8,9.942,2.784126,0.09
3/1/2023,89.68001,98.26452,86.69762,98.26452,9.612,3.710531,0.07
4/1/2023,119.27042,121.59321,97.98,97.98,9.73,4.027819,0.08
5/1/2023,95.46609,102.76154,88.17063,94.7,9.724,4.243295,0.09
6/1/2023,94.81173,99.94936,89.67411,93.29,9.291,4.549382,0.05
7/1/2023,91.9467,94.9386,88.95481,91.6,8.759,4.858953,0.08
8/1/2023,90.22501,91.91452,88.53551,89.42742,8.823,4.903509,0.03
9/1/2023,87.35727,89.59333,86.34795,89.59333,8.909,4.971277,0.03
10/1/2023,90.18494,90.95123,89.41865,89.65484,9.136,5.827352,0.05
11/1/2023,89.35254,89.7319,88.97317,89.7,9.374,5.976829,0.05
12/1/2023,89.91185,90.17709,89.64661,89.7,9.642,5.97813,0.03
1/1/2024,89.62994,89.74263,89.51726,89.7,9.696,6.149463,0.07
2/1/2024,89.70497,89.77002,89.63992,89.7,9.877,6.214386,0.04
3/1/2024,89.6805,89.71056,89.65044,89.7,9.811335708,6.321163,0.04
4/1/2024,89.8855,89.95286,89.7,89.7,9.779586785,6.431053,0.04
5/1/2024,89.68396,89.75304,89.61488,89.7,9.818884427,6.432521,0.05
6/1/2024,89.66616,89.7,89.63778,89.7,9.862651493,6.450228,0.05
7/1/2024,89.62232,89.7,89.58815,89.7,9.774792331,6.577391,0.04
8/1/2024,89.77105,89.81222,89.7,89.7,9.774793152,6.619767,0.04
9/1/2024,89.69228,89.71225,89.67232,89.7,9.865460641,6.608042,0.03
10/1/2024,89.70664,89.71687,89.69641,89.7,9.824871736,6.741306,0.02
11/1/2024,89.65154,89.7,89.62285,89.7,9.763026281,6.896311,0.02
12/1/2024,89.62577,89.7,89.61541,89.7,9.813628002,6.896312,0.02
